"target.id.oclc","target.title","target.location.name","target.location.coordinates","source.id.oclc","source.location.name","source.location.coordinates","article.count","issue.count","target.title.transliterated"
931941685,"المقتطف","Bayrūt","33.88894, 35.49442",644997575,"Dimashq","33.5102, 36.29128",2,2,"almQtTf"
1022938052,"العرفان","Ṣaida","33.55751, 35.37148",1588981,"al-Qāhira","30.06263, 31.24967",2,2,"al3rfan"
1034547407,"الجامعة","Alexandria","31.20176, 29.91582",1588981,"al-Qāhira","30.06263, 31.24967",2,2,"aljam30"
1034547407,"الجامعة","Alexandria","31.20176, 29.91582",4770057679,"Dimashq","33.5102, 36.29128",2,2,"aljam30"
1034550756,"الحقيقة","Bayrūt","33.88894, 35.49442",644997575,"Dimashq","33.5102, 36.29128",2,2,"al7QyQ0"
1034551122,"الآثار","Zaḥla","33.84972, 35.90417",4770057679,"Dimashq","33.5102, 36.29128",2,2,"alaUar"
1034555409,"الضياء","al-Qāhira","30.06263, 31.24967",644997575,"Dimashq","33.5102, 36.29128",2,2,"alDyaq"
1034555409,"الضياء","al-Qāhira","30.06263, 31.24967",4770057679,"Dimashq","33.5102, 36.29128",2,2,"alDyaq"
NA,"الآداب",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"aladab"
NA,"الآنال",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",2,2,"alanal"
NA,"الإصلاح",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,1,"alaSla7"
NA,"الإمام",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"alamam"
NA,"الاجتماع",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"alajtma3"
NA,"الباريزية",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"albaryzy0"
NA,"البرهان",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"albrhan"
NA,"البريد",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,1,"albryd"
NA,"التعليم",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",2,2,"alt3lym"
NA,"التواريخ",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"altwaryK"
NA,"الجامعة المصرية",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,1,"aljam30 almSry0"
NA,"الجوائب",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",2,2,"aljwa5b"
NA,"الجوائب",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"aljwa5b"
NA,"الحقوق","Jabal Lubnān","33.91667, 35.66667",4770057679,"Dimashq","33.5102, 36.29128",2,2,"al7QwQ"
NA,"الدستور",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"aldstwr"
NA,"الرأي",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"alray"
NA,"الرئيس",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"alr5ys"
NA,"الراوي",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"alrawy"
NA,"الرقيب",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"alrQyb"
NA,"الزهرة",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"alzhr0"
NA,"الشام",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",2,1,"alWam"
NA,"الشعب",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"alW3b"
NA,"الشورى",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,1,"alWwrA"
NA,"الصحة",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"alS70"
NA,"الطلبة",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"alTlb0"
NA,"العالم الجديد",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"al3alm aljdyd"
NA,"العثماني",NA,NA,644997575,"Dimashq","33.5102, 36.29128",2,2,"al3Umany"
NA,"العجائب",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"al3ja5b"
NA,"العرب",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,3,"al3rb"
NA,"العصر",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"al3Sr"
NA,"العصر الجديد","Dimashq","33.5102, 36.29128",644997575,"Dimashq","33.5102, 36.29128",2,2,"al3Sr aljdyd"
NA,"القِبلة",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"alQِbl0"
NA,"القدس",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,1,"alQds"
NA,"القرن",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"alQrn"
NA,"القصر",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"alQSr"
NA,"الكائنات",NA,NA,644997575,"Dimashq","33.5102, 36.29128",2,2,"alka5nat"
NA,"الكرمل",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"alkrml"
NA,"الكوثر",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"alkwUr"
NA,"المباحث",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"almba7U"
NA,"المباحث",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"almba7U"
NA,"المجلة الجديدة",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",2,2,"almjl0 aljdyd0"
NA,"المحيط",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",2,2,"alm7yT"
NA,"المدرسة",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"almdrs0"
NA,"المطالعات البيتية",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"almTal3at albyty0"
NA,"المنتقد",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"almntQd"
NA,"النبراس",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"alnbras"
NA,"النجف",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,1,"alnjf"
